number	status	branch	owner	patch_set	insertions	deletions	subject
188	ABANDONED	master	Oleg Drokin	1	1	1	Unbreak module parameters parsing to properly pass desired module parameters when inserting modules from build tree.
202	MERGED	master	Oleg Drokin	4	1	1	Properly pick module parameters from modules.conf
207	MERGED	master	Brian J. Murrell	5	2	2	b=24413 fix for automake > 1.9.6
212	MERGED	master	Brian J. Murrell	6	2	2	b=24417 Update Build-Depends
213	MERGED	master	Brian J. Murrell	6	92	48	b=24416 debian packaging fixes
214	MERGED	master	Brian J. Murrell	9	6	1	LU-53 run autogen if a Makefile.am is patched
215	ABANDONED	master	Brian J. Murrell	2	4	0	debug building on oleg's ubuntu machine
216	MERGED	master	Brian J. Murrell	9	41	46	b=21581 too long file / path names for old tar
217	ABANDONED	master	Brian J. Murrell	2	53	42	fake debian/patche{s,d} for make dist
218	ABANDONED	master	Brian J. Murrell	8	2	1	specify build Makefile from Makefile.in
221	ABANDONED	master	Brian J. Murrell	1	2	2	b=24413 fix for automake > 1.9.6
222	MERGED	master	Brian J. Murrell	5	40	44	b=21581 too long file / path names for old tar
223	MERGED	master	John Spray	4	378	5	Updates to test scripts:  * Add auster test-runner script  * Add integration with maloo test DB
229	MERGED	master	Oleg Drokin	3	20	11	b=24375 Fix lvb updating race in enqueue vs completion case
236	ABANDONED	master	Fan Yong	2	37	5	ORNL-5 Cache mapping fid to ino in osd
237	ABANDONED	master	Fan Yong	3	146	50	Fix race conditions related with statahead
238	MERGED	master	Fan Yong	2	73	10	b=24226 SUID/SGID related processing
239	ABANDONED	master	Fan Yong	1	65	67	Enable/disable MDT layer ACL flag according to backend mount options
240	ABANDONED	master	Fan Yong	1	890	177	Improve the performance for traversing directory
241	MERGED	master	Zhenyu Xu	12	307	90	LU-16 Allow objects larger than 2TB in size
243	ABANDONED	master	Fan Yong	39	1933	934	ORNL-1 Test patch for improving the performance for traversing directory
244	MERGED	master	Robert Read	2	27	19	Don't upload to maloo by default
245	ABANDONED	master	James Simmons	1	17	17	b=14929 cleanup in lustre test suite
247	MERGED	master	Niu Yawei	2	226	212	b=22980 improve obdfilter-survey performance on multi-core system
248	MERGED	master	James Simmons	3	32	14	LU-864 test: Hostname name doesn't equal NID and use facet_mntpt
249	MERGED	master	James Simmons	5	35	4	LU-250 lnet: Router random shuffling support
250	ABANDONED	master	James Simmons	1	30	23	b=14929  Handle ost numbering and info parsing in test suite
251	MERGED	master	James Simmons	3	17	17	LU-322 tests: Pool test fixes for large number of OSTs
252	MERGED	master	James Simmons	7	7	6	LU-577 tests: FAIL replay-single test_70b rundbench load
253	MERGED	master	James Simmons	2	7	7	LU-321 Don't assume file system name for some test
