key	status	resolution	priority	type	assignee	summary
LU-1	Closed	Fixed	Major	Bug	Robert Read	New Bug, bugzilla link test
LU-10	Resolved	Fixed	Major	Bug	Lai Siyao	Client stuck in ptlrpc_invalidate_import() after eviction
LU-100	Resolved	Fixed	Major	Bug	John Spray	Changes made for LU-86 mean that results are not uploaded to Maloo
LU-10000	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [SLES12 SP2 4.4.74-92.38]
LU-10001	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [SLES12 SP3 4.4.82-6.6]
LU-10002	Resolved	Fixed	Major	Bug	Sonia Sharma	client_bulk_callback() event type 1, status -5, desc ffff881fe5a8f800
LU-10003	Resolved	Fixed	Major	Bug	James A Simmons	lnetctl error "cannot add network: invalid argument"
LU-10005	Resolved	Fixed	Major	Bug	Lai Siyao	File creation to slave MDT is much slower than primary MDT on DNE1 configuration
LU-10006	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_78: No space left on device
LU-10007	Resolved	Fixed	Major	Improvement	Nathaniel Clark	Update health resource agents
LU-10008	Open	Unresolved	Minor	Bug	WC Triage	ost-pools test_12: test failed to respond and timed out
LU-10009	Open	Unresolved	Minor	Bug	WC Triage	sanity-benchmark test_iozone: test failed to respond and timed out
LU-1001	Resolved	Duplicate	Blocker	Bug	Andreas Dilger	Test failure on test suite ost-pools, subtest test_18
LU-10010	Resolved	Duplicate	Critical	Bug	WC Triage	Create striped directory fail in 2.10.1-RC1
LU-10011	Resolved	Fixed	Minor	Bug	Wang Shilong	suppress annoying messages for lfs quota
LU-10012	Open	Unresolved	Minor	Bug	WC Triage	conf-sanity test_50c: test_50c returned 1
LU-10013	Open	Unresolved	Minor	Bug	Patrick Farrell	Atomic usage cleanups
LU-10015	Resolved	Fixed	Major	Bug	WC Triage	ASSERTION( cmid->device != ((void *)0) ) failed
LU-10016	Closed	Cannot Reproduce	Critical	Bug	Nathaniel Clark	Downgrading Lustre 2.10.1 ZFS to 2.9.0 ZFS gives a pool cannot be found error on import
LU-10017	Resolved	Cannot Reproduce	Minor	Bug	Yang Sheng	sanity test_42e: failed: client:83091456 server: 87285760
LU-10018	Resolved	Fixed	Minor	Improvement	Alex Zhuravlev	MDT as a statfs proxy
LU-10019	Closed	Cannot Reproduce	Minor	Bug	Jian Yu	Interop - sanity test_77c: no checksum dump file on OSS
LU-1002	Closed	Cannot Reproduce	Minor	Bug	Niu Yawei	Test failure on test suite sanity-quota
LU-10020	Resolved	Not a Bug	Critical	Bug	Amir Shehata	mlx5_warn:mlx5_1:dump_cqe:257:(pid 4031): dump error cqe
LU-10021	Closed	Won't Fix	Blocker	Bug	WC Triage	posix test_1: Unknown option: nospc-dev
LU-10022	Resolved	Duplicate	Blocker	Bug	WC Triage	racer test 1: (lu_object.h:862:lu_object_attr()) ASSERTION( ((o)->lo_header->loh_attr & LOHA_EXISTS) != 0 ) failed
LU-10023	Resolved	Fixed	Minor	Bug	Bob Glossman	kernel update [SLES12 SP3 4.4.82-6.9]
LU-10024	Resolved	Fixed	Major	Bug	James Nunez	sanity test_120f: 6 cancel RPC occured
LU-10025	Open	Unresolved	Minor	Bug	WC Triage	sanity test_155e: Permission Denied
LU-10026	Open	Unresolved	Minor	New Feature	Artem Blagodarenko	Client-side data compression
LU-10027	Open	Unresolved	Minor	Bug	Bruno Faccini	Unable to finish mount  on MDS while Rolling downgrade
LU-10028	Resolved	Fixed	Minor	New Feature	Qian Yingjin	Export the information about Lustre special mount flags and options
LU-10029	Resolved	Fixed	Minor	Bug	Wang Shilong	project inherit attribute should be removeable
LU-1003	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	Test failure on test suite parallel-scale
LU-10030	Resolved	Fixed	Minor	New Feature	Wang Shilong	add native lfs tools support for project quota
LU-10031	Open	Unresolved	Minor	Bug	WC Triage	Interop: sanity-hsm test_26a: request on 0x2000088d5:0x2a:0x0 is not SUCCEED on mds1
LU-10032	Resolved	Cannot Reproduce	Minor	Bug	Sonia Sharma	MOFED4.1 sanity test_399b: FAIL: fake write is slower
LU-10033	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	MOFED4.1 sanity test_42d: failed: client:151191552 server: 75595776
LU-10034	Closed	Won't Fix	Minor	Improvement	Wang Shilong	LDISKFS Quota scalability improvement
LU-10035	Open	Unresolved	Major	Bug	Amir Shehata	Many threads hanging on OST, lustre-log dumps
LU-10036	Resolved	Duplicate	Major	Bug	nasf	lfsck stuck in init on multiple MDS
LU-10037	Resolved	Won't Fix	Minor	Bug	Bob Glossman	kernel update [RHEL6.9 2.6.32-696.10.3.el6]
LU-10038	Resolved	Fixed	Minor	Bug	WC Triage	sanity test 133g fails with “ '$'mds1 find /proc/fs/lustre/n/proc/sys/lnet/n/sys/fs/lustre/n/sys/kernel/debug/lnet/n/sys/kernel/debug/lustre/ failed''
LU-10039	Open	Unresolved	Minor	Bug	Zhenyu Xu	ioctl error after downgrade
LU-1004	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	MDS node restart when running parallel-scale sub_test mdtestssf
LU-10040	Resolved	Fixed	Major	Bug	Emoly Liu	nodemap and quota issues (ineffective GID mapping)
LU-10041	Resolved	Fixed	Major	Improvement	Alex Zhuravlev	osd-zfs to choose dnode size
LU-10042	Resolved	Fixed	Minor	Improvement	WC Triage	sanity/51b to cleanup properly
LU-10043	Resolved	Duplicate	Minor	Bug	WC Triage	sanity-hsm test_222c: Changelog flag is not 0x82
LU-10045	Resolved	Fixed	Critical	Bug	nasf	sanity-lfsck no sub tests failed
LU-10046	Resolved	Fixed	Trivial	Improvement	Andreas Dilger	use CLASSERT() for compile-time checks
LU-10047	Resolved	Fixed	Minor	Bug	Bob Glossman	sanity test_102d: mkdir -i 2 -c2 /mnt/lustre/d102d.sanity failed
LU-10048	Resolved	Fixed	Major	Bug	Alex Zhuravlev	osd-ldiskfs to truncate outside of main transaction
LU-10049	Closed	Fixed	Minor	Bug	Alex Zhuravlev	LBUG osp_sync.c:1221:osp_sync_thread()
LU-1005	Resolved	Fixed	Minor	Improvement	Jian Yu	fix spurious libcfs_debug_str2mask() warning
LU-10050	Resolved	Fixed	Minor	Bug	Jinshan Xiong	Problem in lod_declare_update_plain()
LU-10051	Resolved	Fixed	Minor	Task	Nathaniel Clark	Update ZFS Version to 0.7.2
LU-10052	Resolved	Fixed	Major	Bug	Hongchao Zhang	replay-single test_20b fails with 'after 4096 > before 3072'
LU-10053	Open	Unresolved	Minor	Bug	WC Triage	sanityn test_35: Eviction happened on import lustre-MDT0000
